Posicion,Equipo,Puntos,Jugados,G,E,P,GF,GC,DG
1,San Martin (SJ),37,19,10,7,2,19,10,+9
2,San Martin (T),36,19,10,6,3,18,5,+13
3,Estudiantes (BA),31,19,8,7,4,15,9,+6
4,San Miguel,31,19,8,7,4,16,13,+3
5,Quilmes*,28,19,8,7,4,21,15,+6
6,All Boys,27,19,6,9,4,13,13,0
7,Dep. Maipu,27,19,8,3,8,19,24,-5
8,Ferro,26,19,7,5,7,28,24,+4
9,Chacarita,26,19,7,5,7,21,20,+1
10,Alvarado,26,19,7,5,7,16,20,-4
11,Agropecuario,24,19,6,6,7,23,19,+4
12,Gimnasia (J),24,19,7,3,9,17,17,0
13,Racing (C),23,19,5,8,6,14,15,-1
14,Arsenal,21,19,5,6,8,12,18,-6
15,Tristan Suarez,20,19,5,5,9,20,24,-4
16,Brown (PM),19,19,4,7,8,14,20,-6
17,Guemes (SdE),19,19,3,10,6,10,16,-6
18,Talleres (RdE),19,19,4,7,8,13,21,-8
19,Patronato,18,19,3,9,7,11,19,-8
