Title,Year,imdbID,Type,Genre,Rated
The Lego Movie,2014,tt1490017,movie,"Animation, Action, Adventure",PG
The Simpsons Movie,2007,tt0462538,movie,"Animation, Adventure, Comedy",PG-13
El Camino: A Breaking Bad Movie,2019,tt9243946,movie,"Action, Crime, Drama",TV-MA
Scary Movie,2000,tt0175142,movie,Comedy,R
The Super Mario Bros. Movie,2023,tt6718170,movie,"Animation, Adventure, Comedy",PG
Bee Movie,2007,tt0389790,movie,"Animation, Adventure, Comedy",PG
Scary Movie 2,2001,tt0257106,movie,"Comedy, Horror",R
The Lego Batman Movie,2017,tt4116284,movie,"Animation, Action, Adventure",PG
Scary Movie 3,2003,tt0306047,movie,Comedy,PG-13
Scary Movie 4,2006,tt0362120,movie,Comedy,PG-13
Not Another Teen Movie,2001,tt0277371,movie,Comedy,R
Movie 43,2013,tt1333125,movie,Comedy,R
Epic Movie,2007,tt0799949,movie,"Adventure, Comedy, Fantasy",PG-13
The Angry Birds Movie,2016,tt1985949,movie,"Animation, Action, Adventure",PG
A Silent Voice: The Movie,2016,tt5323662,movie,"Animation, Drama",Not Rated
The SpongeBob SquarePants Movie,2004,tt0345950,movie,"Animation, Adventure, Comedy",PG
Jackass: The Movie,2002,tt0322802,movie,"Documentary, Action, Comedy",R
Disaster Movie,2008,tt1213644,movie,"Comedy, Sci-Fi",PG-13
Garfield: The Movie,2004,tt0356634,movie,"Adventure, Comedy, Family",PG
Scary Movie V,2013,tt0795461,movie,"Comedy, Horror",PG-13
The Lego Movie 2: The Second Part,2019,tt3513498,movie,"Animation, Action, Adventure",PG
Superhero Movie,2008,tt0426592,movie,"Action, Comedy, Sci-Fi",PG-13
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,tt11032374,movie,"Animation, Action, Adventure",TV-MA
The Emoji Movie,2017,tt4877122,movie,"Animation, Adventure, Comedy",PG
A Goofy Movie,1995,tt0113198,movie,"Animation, Adventure, Comedy",G
Date Movie,2006,tt0466342,movie,"Comedy, Romance",PG-13
The SpongeBob Movie: Sponge Out of Water,2015,tt2279373,movie,"Animation, Adventure, Comedy",PG
Cowboy Bebop: The Movie,2001,tt0275277,movie,"Animation, Action, Crime",TV-14
The Peanuts Movie,2015,tt2452042,movie,"Animation, Adventure, Comedy",G
Pokémon: The First Movie - Mewtwo Strikes Back,1998,tt0190641,movie,"Animation, Action, Adventure",G
Hannah Montana: The Movie,2009,tt1114677,movie,"Comedy, Drama, Family",G
Shaun the Sheep Movie,2015,tt2872750,movie,"Animation, Adventure, Comedy",PG
The Lizzie McGuire Movie,2003,tt0306841,movie,"Adventure, Comedy, Family",PG
The Transformers: The Movie,1986,tt0092106,movie,"Animation, Action, Adventure",PG
Twilight Zone: The Movie,1983,tt0086491,movie,"Horror, Sci-Fi",PG
The Muppet Movie,1979,tt0079588,movie,"Adventure, Comedy, Family",G
Between Two Ferns: The Movie,2019,tt9398640,movie,Comedy,TV-MA
Batman: The Movie,1966,tt0060153,movie,"Action, Adventure, Comedy",PG
The Angry Birds Movie 2,2019,tt6095472,movie,"Animation, Action, Adventure",PG
Captain Underpants: The First Epic Movie,2017,tt2091256,movie,"Animation, Action, Adventure",PG
The Lego Ninjago Movie,2017,tt3014284,movie,"Animation, Action, Adventure",PG
DuckTales the Movie: Treasure of the Lost Lamp,1990,tt0099472,movie,"Animation, Adventure, Comedy",G
Man with a Movie Camera,1929,tt0019760,movie,Documentary,Not Rated
Deadwood: The Movie,2019,tt4943998,movie,"Drama, Western",TV-MA
The Brady Bunch Movie,1995,tt0112572,movie,Comedy,PG-13
Pokémon the Movie 2000,1999,tt0210234,movie,"Animation, Action, Adventure",G
