,lister-item-index,lister-item-header,certificate,runtime,genre,rating,votes
0,1,Stranger Things,15,60m,"Drama, Fantasy, Horror",8.7,
1,2,13 Reasons Why,18,60m,"Drama, Mystery, Thriller",7.5,321k+
2,3,Orange Is the New Black,18,59m,"Comedy, Crime, Drama",8.0,342k+
3,4,Black Mirror,18,60m,"Drama, Mystery, Sci-Fi",8.7,319k+
4,5,Money Heist,15,60m,"Action, Crime, Drama",8.2,086k+
5,6,Lucifer,15,"4,393m","Crime, Drama, Fantasy",8.1,155k+
6,7,Narcos,15,50m,"Biography, Crime, Drama",8.8,909k+
7,8,Daredevil,15,60m,"Action, Crime, Drama",8.6,940k+
8,9,Sense8,15,60m,"Drama, Mystery, Sci-Fi",8.2,528k+
9,10,Jessica Jones,15,56m,"Action, Crime, Drama",7.9,187k+
10,11,House of Cards,18,50m,Drama,8.6,463k+
11,12,The End of the F***ing World,15,25m,"Adventure, Comedy, Crime",8.0,483k+
12,13,Dark,15,60m,"Crime, Drama, Mystery",8.7,321k+
13,14,Sex Education,18,60m,"Comedy, Drama, Romance",8.3,817k+
14,15,Elite,15,60m,"Crime, Drama, Thriller",7.2,237k+
15,16,You,15,45m,"Crime, Drama, Romance",7.7,650k+
16,17,Chilling Adventures of Sabrina,15,60m,"Drama, Fantasy, Horror",7.4,853k+
17,18,The OA,15,60m,"Drama, Fantasy, Mystery",7.8,239k+
18,19,The Punisher,18,60m,"Action, Crime, Drama",8.4,516k+
19,20,The Umbrella Academy,15,60m,"Action, Adventure, Comedy",7.9,779k+
20,21,Iron Fist,18,55m,"Action, Adventure, Crime",6.4,364k+
21,22,Luke Cage,15,55m,"Action, Crime, Drama",7.2,241k+
22,23,Atypical,12,30m,"Comedy, Drama",8.2,009k+
23,24,Big Mouth,18,30m,"Animation, Comedy, Romance",7.8,033k+
24,25,The Rain,15,45m,"Drama, Sci-Fi, Thriller",6.3,355k+
25,26,The Defenders,15,50m,"Action, Adventure, Crime",7.2,048k+
26,27,The Crown,15,60m,"Biography, Drama, History",8.6,352k+
27,28,A Series of Unfortunate Events,PG,"1,164m","Adventure, Comedy, Drama",7.7,482k+
28,29,Insatiable,15,45m,"Comedy, Drama, Thriller",6.5,495k+
29,30,Mindhunter,18,60m,"Crime, Drama, Mystery",8.6,075k+
30,31,3%,15,49m,"Action, Drama, Sci-Fi",7.3,008k+
31,32,Altered Carbon,18,60m,"Action, Drama, Sci-Fi",7.9,859k+
32,33,The Haunting of Hill House,15,572m,"Drama, Horror, Mystery",8.6,535k+
33,34,Santa Clarita Diet,15,30m,"Comedy, Horror",7.8,813k+
34,35,Disenchantment,15,30m,"Animation, Action, Adventure",7.2,503k+
35,36,BoJack Horseman,18,25m,"Animation, Comedy, Drama",8.8,993k+
36,37,Girlboss,15,26m,Comedy,7.0,687k+
37,38,Ozark,18,60m,"Crime, Drama, Thriller",8.5,631k+
38,39,Lost in Space,12,60m,"Adventure, Drama, Family",7.3,388k+
39,40,Baby,15,50m,Drama,6.8,083k+
40,41,Unbreakable Kimmy Schmidt,12,30m,Comedy,7.6,450k+
41,42,Everything Sucks!,15,30m,"Comedy, Drama",7.4,120k+
42,43,Cable Girls,15,50m,Drama,7.5,087k+
43,44,The Last Kingdom,18,60m,"Action, Drama, History",8.5,641k+
44,45,The Society,15,58m,"Drama, Mystery, Sci-Fi",7.1,504k+
45,46,Maniac,18,386m,"Comedy, Drama, Sci-Fi",7.7,275k+
46,47,Gilmore Girls: A Year in the Life,12,370m,"Comedy, Drama",7.5,543k+
47,48,Russian Doll,18,30m,"Comedy, Drama, Mystery",7.7,602k+
48,49,Castlevania,15,23m,"Animation, Action, Adventure",8.3,792k+
49,50,On My Block,15,30m,"Comedy, Drama",7.8,427k+
50,51,Marco Polo,15,60m,"Action, Adventure, Drama",8.0,306k+
51,52,Grace and Frankie,15,30m,Comedy,8.2,789k+
52,53,"Love, Death & Robots",18,15m,"Animation, Short, Action",8.4,422k+
53,54,Dear White People,15,30m,"Comedy, Drama",6.4,364k+
54,55,Safe,15,356m,"Crime, Drama, Mystery",7.2,704k+
55,56,Greenhouse Academy,PG,25m,"Adventure, Comedy, Drama",6.6,921k+
56,57,RuPaul's Drag Race,15,63m,"Game-Show, Reality-TV",8.5,189k+
57,58,The Order,15,60m,"Drama, Fantasy, Horror",6.7,053k+
58,59,Fuller House,PG,30m,"Comedy, Drama, Family",6.7,332k+
59,60,Travelers,15,45m,"Drama, Mystery, Sci-Fi",8.0,928k+
60,61,Master of None,15,30m,"Comedy, Drama",8.2,143k+
61,62,Love,15,50m,"Comedy, Drama, Romance",7.6,854k+
62,63,Narcos: Mexico,15,60m,"Crime, Drama",8.4,447k+
63,64,The Hookup Plan,15,27m,"Comedy, Romance",7.1,910k+
64,65,One Day at a Time,15,30m,"Comedy, Drama",8.2,238k+
65,66,Between,15,60m,"Drama, Mystery, Sci-Fi",5.9,906k+
66,67,GLOW,18,35m,"Comedy, Drama, Sport",8.0,376k+
